name,artist_names,popularity,release_date
Am Ende,{'Kraftklub'},1,2017-06-02
Eine Nacht,{'Ardian Bujupi'},15,2019-11-22
Epiphany,{'BTS'},72,2018-08-24
Heartless (feat. Morgan Wallen),"{'Diplo', 'Morgan Wallen'}",79,2019-08-16
Oud Interlude,{'Shindy'},44,2019-07-12
Banana,"{'Anitta', 'Becky G'}",61,2019-04-05
Corazón,"{'Maître Gims', 'Lil Wayne'}",44,2018-03-23
I Can't Even Lie (feat. Future & Nicki Minaj),"{'DJ Khaled', 'Future', 'Nicki Minaj'}",35,2017-06-22
Tirer un trait,{'SCH'},52,2019-11-29
Pretender,{'Official HIGE DANdism'},0,2019-04-17
Krimineller,"{'Bonez MC', 'RAF Camora', 'Kontra K'}",54,2018-10-05
sig sauer,{'KALIM'},37,2019-06-20
Immer auf der Straße (feat. GZUZ),"{'18 Karat', 'Gzuz'}",44,2019-05-31
Nobody Else but You,{'Trey Songz'},66,2017-03-24
On The Road (feat. Meek Mill & Lil Baby),"{'Post Malone', 'Meek Mill', 'Lil Baby'}",17,2019-09-06
Le bal des fous,"{'Columbine', 'Lujipeka'}",46,2018-09-28
Me Espera,"{'Sandy', 'Tiago Iorc'}",1,2016-05-06
Tightrope,{'Michelle Williams'},71,2017-12-08
HERO,{'Mr.Children'},46,2004-04-07
Pharmacie,{'SCH'},36,2018-10-10
Adrenalin,"{'Marteria', 'Casper'}",51,2018-08-31
Rooting For You,{'Alessia Cara'},69,2019-08-09
Déjala Que Vuelva (feat. Manuel Turizo),"{'Piso 21', 'Manuel Turizo'}",71,2018-05-11
Mile High,"{'James Blake', 'Travis Scott', 'Metro Boomin'}",7,2019-01-18
アルペジオ,{'Alexandros'},53,2018-11-21
"thank u, next",{'Ariana Grande'},86,2019-02-08
J'aime Bien!,{'Josman'},67,2018-09-14
Walk,{'Comethazine'},74,2018-08-24
Speechless (feat. Erika Sirola),"{'Robin Schulz', 'Erika Sirola'}",78,2018-11-16
Amor Falso,"{'Wesley Safadão', 'Aldair Playboy', 'MC Kevinho'}",58,2018-05-18
Self,{'Khalid'},61,2019-04-05
1991,{'Mois'},50,2019-08-16
