name,artist_names,popularity,release_date
Beaulieue,{'Eddy de Pretto'},0,2018-03-02
Que Tire Pa Lante,{'Daddy Yankee'},83,2019-10-18
Estado Decadente - Acústico,{'Zé Neto & Cristiano'},69,2019-01-11
Pavé,{'Ninho'},55,2018-03-30
Fotzen im Club,{'SXTN'},60,2016-04-15
Hey Julie! (feat. Lil Yachty),"{'KYLE', 'Lil Yachty'}",65,2018-12-03
Nothings Into Somethings,{'Drake'},60,2017-03-18
Je veux tes yeux,{'Angèle'},59,2018-10-05
Zeit verschwenden,{'SDP'},51,2017-03-10
In der Nacht,"{'KC Rebell', 'RAF Camora', 'Kontra K'}",56,2019-04-19
Nessas Horas - Ao Vivo,{'Matheus & Kauan'},1,2017-03-10
LEAL,{'Djonga'},68,2019-03-13
Défaite de famille,{'Orelsan'},56,2017-10-20
Médicament,"{'Niska', 'Booba'}",65,2019-09-05
Talk Up (feat. Jay-Z),"{'Drake', 'JAY-Z'}",62,2018-06-29
Follow Back (feat. Aya Nakamura),"{'Dabs', 'Aya Nakamura'}",62,2019-07-05
Real Thing,{'Ruel'},66,2019-09-13
KEKE,"{'6ix9ine', 'Fetty Wap', 'A Boogie Wit da Hoodie'}",0,2018-02-23
113,"{'Booba', 'Damso'}",1,2017-12-01
Amigo,{'Lil Tecca'},9,2019-08-30
Same Way,{'Nines'},42,2018-04-20
La La Land (feat. YG),"{'Bryce Vine', 'YG'}",65,2019-07-26
Turning Up,{'ARASHI'},69,2019-11-03
KUKU SLS,"{'Capital Bra', 'Gringo'}",51,2017-09-29
La Libertad,{'Alvaro Soler'},67,2019-05-10
wonderful life (feat. Dani Filth),"{'Bring Me The Horizon', 'Dani Filth'}",61,2019-01-25
Otro Trago,"{'Sech', 'Darell'}",81,2019-04-19
What Am I,{'Why Don't We'},73,2019-01-17
Pas idée,{'Kaaris'},0,2017-11-03
Varadero,"{'AriBeatz', 'Ardian Bujupi', 'Ozel'}",33,2018-08-24
Ι. Peur d'être père,"{'Damso', 'Youri'}",0,2017-04-28
Normal,{'Roméo Elvis'},49,2019-04-12
Dirty Wine (feat. Ty Dolla $ign),"{'WizKid', 'Ty Dolla $ign'}",46,2017-07-14
Daytona,"{'Miami Yacine', 'Paramocro'}",41,2017-10-02
Savastano,{'Sofiane'},36,2017-01-27
Blu,{'Jon Bellion'},66,2018-11-09
A・RA・SHI,{'ARASHI'},3,1999-11-03
Yancha BOY Yancha GIRL,{'Babulincho'},46,2019-11-28
Eyes,{'RÜFÜS DU SOL'},59,2018-10-19
Über Nacht,"{'Gzuz', 'Bonez MC', 'Maxwell', 'Ufo361'}",0,2018-05-18
Let It Go,{'James Bay'},75,2014-12-15
La Dee Da,{'Foo Fighters'},52,2017-09-15
Something New (feat. Ty Dolla $ign),"{'Wiz Khalifa', 'Ty Dolla $ign'}",73,2017-08-11
Trem-Bala - Acústico,"{'Ana Vilela', 'Luan Santana'}",55,2017-05-12
Consórcio - Ao Vivo,{'Matheus & Kauan'},58,2019-03-22
Poukie,{'Hornet La Frappe'},35,2017-04-05
Gangsta,"{'Darkoo', 'One Acen'}",66,2019-11-08
ヒロイン,{'back number'},63,2015-12-09
Hakuna Matata 2,"{'Maxwell', 'Joshi Mizu'}",41,2017-03-24
500 PS,"{'Bonez MC', 'RAF Camora'}",72,2018-10-05
Largado Às Traças - Ao Vivo,{'Zé Neto & Cristiano'},70,2018-07-13
Sie Is Geladen (feat. Nura),"{'Seeed', 'Nura'}",51,2019-10-04
A Distância Tá Maltratando,"{'MC G15', 'MC Bruninho'}",53,2018-08-01
"Tough Love (feat. Agnes, Vargas & Lagola)","{'Avicii', 'Agnes', 'Vargas & Lagola'}",70,2019-06-06
Drive,{'Naps'},37,2018-03-09
Papa,{'Dadju'},18,2019-11-17
Come,{'Jain'},62,2016-10-21
"Dia, Lugar e Hora",{'Luan Santana'},51,2016-09-16
How To Draw / Petrichor,{'The 1975'},53,2018-11-30
Das erste Mal (feat. 18 Karat),"{'Kollegah', '18 Karat'}",0,2018-11-02
Slowmotion,"{'Fler', 'Jalil'}",0,2017-06-30
Time goes by,{'Every Little Thing'},50,2016-12-14
All I Am,{'Jess Glynne'},65,2018-08-17
Turn,{'The Wombats'},52,2018-02-09
Hunger,{'Florence + The Machine'},67,2018-06-29
Ihre Sprache,{'Kontra K'},53,2019-05-24
A qui la faute,"{'Kery James', 'Orelsan'}",49,2019-07-10
Dégueulasse,{'Caballero & JeanJass'},0,2018-06-01
Mary Jane,"{'Sami', 'Lil Lano'}",55,2019-05-06
Teflon,{'RAF Camora'},47,2017-08-25
Crying in the Club,{'Camila Cabello'},72,2017-05-18
Papercuts (feat. Vera Blue),"{'Illy', 'Vera Blue'}",53,2016-11-11
Jamais,"{'Mister V', 'PLK'}",67,2019-12-04
Cosby Sweater,{'Hilltop Hoods'},66,2014-08-08
Hallo Hallo,"{'Azet', 'Zuna'}",53,2019-02-08
"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)","{'PnB Rock', 'Kodak Black', 'A Boogie Wit da Hoodie'}",70,2017-03-30
Nothing Breaks Like a Heart (feat. Miley Cyrus),"{'Mark Ronson', 'Miley Cyrus'}",68,2019-06-21
Kira,{'DTF'},46,2019-10-11
Ya Salam,{'Capital Bra'},10,2018-11-02
Run Rudolph Run - Single Version,{'Chuck Berry'},53,1986-01-01
Like Mike (feat. Jay Critch & A Boogie wit da Hoodie),"{'Rich The Kid', 'Jay Critch', 'A Boogie Wit da Hoodie'}",53,2019-03-22
Ghetto,"{'Azet', 'Zuna'}",45,2019-03-08
Ma vie,{'Dadju'},26,2019-11-17
Be Careful,{'Cardi B'},52,2018-03-30
Só por Hoje,"{'1Kilo', 'Lucas Lucco'}",47,2017-07-01
Bebe e Vem Me Procurar,{'Raí Saia Rodada'},70,2019-04-18
Hayat,{'KC Rebell'},42,2019-04-19
ARE WE STILL FRIENDS?,"{'Tyler, The Creator'}",68,2019-05-17
FiNCHiBOY,{'FiNCH ASOZiAL'},59,2019-11-08
Binks (feat. Koba LaD),"{'100 Blaze', 'Koba LaD'}",56,2019-05-31
Mystik,{'Tash Sultana'},58,2017-10-06
Out Of Luck,{'Lil Tecca'},9,2019-08-30
バッドフォーミー,{'Official HIGE DANdism'},42,2018-08-06
Safari (feat. Zuna),"{'Capital Bra', 'Zuna'}",9,2018-11-02
Hurt To Look (feat. Rae Sremmurd),"{'Swae Lee', 'Rae Sremmurd'}",0,2018-03-01
I.F.L.Y.,{'Bazzi'},85,2019-08-09
Sturmmaske auf - Gold war gestern RMX,"{'Kollegah', 'Farid Bang', '18 Karat', 'Summer Cem', 'Capital Bra', 'King Khalil'}",0,2018-05-04
Dá preferência pra mim (Participação especial de Gusttavo Lima),"{'Thiago Brava', 'Gusttavo Lima'}",62,2019-04-26
ヒューマノイド,{'ZUTOMAYO'},49,2018-11-07
Found U,"{'Dimmi', 'Zeeba'}",18,2017-09-22
Olha Pro Oclin,"{'Sidoka', 'FBC'}",66,2019-07-11
MC Lençol e DJ Travesseiro,{'Luan Santana'},53,2018-06-08
hot girl bummer,{'blackbear'},90,2019-08-23
...Ready For It?,{'Taylor Swift'},70,2017-11-10
Bad Husband (feat. X Ambassadors),"{'Eminem', 'X Ambassadors'}",3,2017-12-15
All Star,{'Smash Mouth'},80,1999-06-08
Status Quo,{'XATAR'},0,2017-11-17
"Un Zder, Un Thé",{'Josman'},58,2018-09-14
Don’t Feel Like Crying,{'Sigrid'},62,2019-03-08
Rihanna,{'Yxng Bane'},58,2017-08-14
Skit Mamaz,{'Lomepal'},43,2018-12-07
Clout (feat. 21 Savage),"{'Ty Dolla $ign', '21 Savage'}",62,2018-05-11
JAPAN,{'Famous Dex'},75,2018-04-06
Chavinho - Ao Vivo,{'Raffa Torres'},0,2018-09-07
君に届け,{'flumpool'},60,2011-01-26
DEJAVU,{'AAA'},25,2018-07-27
Ahnma,"{'Beginner', 'Gzuz', 'Gentleman'}",5,2016-08-26
Omertà,{'Drake'},64,2019-06-15
Quelqu'un d'autre t'aimera,"{'Jul', 'Alonzo'}",43,2018-06-29
VNTM,"{'Jul', 'Gambino', 'Zackmess', 'Metah', 'Oscar', 'Miklo', 'Moubarak', 'TK'}",48,2018-12-07
Jacuzzi,"{'Greeicy', 'Anitta'}",59,2018-10-26
Maybachemblem (Intro),{'Kollegah'},54,2019-12-13
Kaiseraura,{'Kollegah'},44,2016-12-09
Clock Strikes,{'ONE OK ROCK'},58,2013-03-06
Dimelo (feat. Wyclef Jean & Naughty Boy) - X Factor Recording,"{'Rak-Su', 'Wyclef Jean', 'Naughty Boy'}",50,2017-12-03
Missing,"{'Belly Squad', 'Headie One'}",0,2018-04-28
Dinero,"{'Lartiste', 'DA Uzi', 'Don Milli'}",35,2018-10-04
I'll Be There,{'Jess Glynne'},13,2018-10-12
Tranz,{'Gorillaz'},67,2018-06-29
Mafiosa (feat. Caroliina),"{'Lartiste', 'Caroliina'}",64,2018-02-23
Playin' for Keeps,"{'Fredo', 'Asco'}",0,2018-02-09
Maybe It's My First Time,{'Meg Mac'},34,2017-07-14
On Point,{'KSI'},3,2018-08-17
Khalas,"{'Krept & Konan', 'RA'}",0,2017-10-20
OMG,{'Loredana'},50,2019-09-13
Deadz (feat. 2 Chainz),"{'Migos', '2 Chainz'}",60,2017-01-27
Stevez,"{'TK', 'Gambi'}",62,2019-11-07
Bibia Be Ye Ye,{'Ed Sheeran'},68,2017-03-03
Déjate Llevar,"{'Juan Magán', 'Belinda', 'Manuel Turizo', 'Snova', 'B-Case'}",5,2017-11-28
Fuego,{'Veysel'},42,2018-11-30
Tokyo,{'Jul'},59,2019-06-28
Broken Arrows,{'Avicii'},9,2015-10-02
YAYO,"{'Kollegah', 'Asche'}",59,2019-12-13
Dans la ville,"{'DTF', 'N.O.S'}",65,2019-10-11
Not Above Love,{'AlunaGeorge'},1,2016-09-16
Maldade,{'Maiara & Maraisa'},0,2018-03-20
La Cintura,{'Alvaro Soler'},11,2018-09-21
Chopp garotinho,{'Ferrugem'},55,2019-01-11
Kimiga Kureta Natsu,{'Leo Ieiri'},11,2016-07-08
You Could Be,"{'R3HAB', 'Khrebto'}",52,2017-08-25
Reborn To Rebel,{'Ski Mask The Slump God'},57,2018-11-30
Next,"{'Ufo361', 'RIN'}",58,2019-04-26
Winter in Berlin,{'Juju'},50,2019-06-14
bis um 3,"{'KALIM', 'Nimo'}",53,2019-07-04
Jumpman,"{'Drake', 'Future'}",75,2015-09-20
Goddamn (feat. A Boogie wit da Hoodie),"{'Tyga', 'A Boogie Wit da Hoodie'}",68,2019-06-07
Roda Gigante - Radio Edit,"{'Thascya', 'Zerky', 'Pablo Dominguez'}",21,2018-06-08
Wory w Sakone,{'SpongeBOZZ'},0,2017-06-09
Wo ich hin will (Outro),"{'KC Rebell', 'Summer Cem'}",33,2017-06-16
From Now On,"{'Hugh Jackman', 'The Greatest Showman Ensemble'}",33,2017-12-08
iD,"{'Michael Patrick Kelly', 'Gentleman'}",16,2017-06-16
us,{'milet'},46,2019-09-04
Neuer Tag neues Drama,{'Gzuz'},47,2018-05-25
Lay It All on Me (feat. Ed Sheeran),"{'Rudimental', 'Ed Sheeran'}",45,2013
"Quem Pegou, Pegou - Ao Vivo",{'Henrique & Juliano'},64,2018-10-05
Hard Times,{'Paramore'},75,2017-05-12
Jerry Sprunger (with T-Pain),"{'Tory Lanez', 'T-Pain'}",23,2019-11-08
Thunder,{'Imagine Dragons'},10,2017-06-23
Best Part of Me (feat. YEBBA),"{'Ed Sheeran', 'Yebba'}",74,2019-07-05
Lençol Dobrado,"{'João Gustavo e Murilo', 'Analaga'}",29,2018-12-21
Bandolero (feat. Farid Bang),"{'18 Karat', 'Farid Bang'}",35,2019-04-19
Verleden Tijd,"{'Frenna', 'Lil Kleine'}",62,2018-09-07
BANKA,{'illion'},29,2016-10-12
"Você Vai Entender (feat. Pablo Martins, Morgado, NaBrisa & Baviera)","{'1Kilo', 'Pablo Martins', 'Morgado', 'NaBrisa', 'Baviera'}",1,2017-08-15
"Only You (feat. WizKid, Offset & J Balvin)","{'Metro Boomin', 'J Balvin', 'WizKid', 'Offset'}",1,2018-11-02
Album of the Year - Freestyle,{'J. Cole'},61,2018-08-07
Beach House,{'The Chainsmokers'},12,2018-11-16
How It Is (Wap Bap...),{'Bibi H.'},38,2017-05-05
Pharao,{'Kollegah'},49,2016-12-09
Met Gala (feat. Offset),"{'Gucci Mane', 'Offset'}",64,2017-05-26
セプテンバーさん,{'RADWIMPS'},58,2017-02-24
Sugar,"{'Peking Duk', 'Jack River'}",59,2019-01-17
Tes parents (feat. Ninho),"{'Leto', 'Ninho'}",69,2019-07-05
Sorry,{'Joel Corry'},74,2019-04-05
Criminal,"{'Natti Natasha', 'Ozuna'}",77,2017-09-01
Bally,"{'Swarmz', 'Tion Wayne'}",58,2019-01-18
Erster Alles,{'Summer Cem'},39,2018-01-19
Netflix & Chill,{'Fredo'},70,2019-11-08
Pineapple,"{'Jamule', 'reezy'}",51,2019-03-01
Leave a Light On,{'Tom Walker'},65,2019-03-01
Le temps,"{'MHD', 'Orelsan'}",43,2018-09-19
We're Going Home,{'Vance Joy'},60,2018-02-23
Pourquoi,{'Ninho'},52,2017-09-08
Quartier des lunes,{'Eddy de Pretto'},0,2018-03-02
Mess,{'Lil Wayne'},59,2018-09-28
Eurêka,{'Hayce Lemsi'},11,2017-12-08
Follow God,{'Kanye West'},79,2019-10-25
G.O.K.O.U,{'Kaaris'},44,2018-06-22
Perfekt (feat. Sofiane),"{'RAF Camora', 'AriBeatz', 'Sofiane'}",65,2018-11-16
Pam Pam Pam,"{'Capital Bra', 'Samra', 'Kalazh44'}",54,2019-10-03
Silhouette,{'KANA-BOON'},73,2015-01-21
Morning After,{'dvsn'},55,2017-10-13
Boys,{'Charli XCX'},69,2017-07-26
"Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)","{'Young Thug', '2 Chainz', 'Wiz Khalifa', 'PnB Rock'}",59,2017-03-23
For Whom The Bell Tolls,{'J. Cole'},59,2016-12-09
Kill für mich,{'Olexesh'},36,2018-03-02
Holz,{'257ers'},0,2016-07-01
New,{'Daya'},2,2017-10-11
make daddy proud,{'blackbear'},61,2017-04-21
Roses,"{'The Chainsmokers', 'ROZES'}",32,2016-08-10
Supplies,{'Justin Timberlake'},45,2018-01-18
Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,"{'Dreamville', 'JID', 'EARTHGANG', 'Buddy', 'Guapdad 4000'}",63,2019-07-05
Gib Ihm,{'Shirin David'},62,2019-09-19
Ton poto,{'Moha La Squale'},41,2018-05-25
Quero Ser Feliz Também - Ao Vivo,{'Natiruts'},69,2012-09-17
Taped up Heart (feat. Clara Mae),"{'KREAM', 'Clara Mae'}",51,2016-10-14
Halfway Off The Balcony,{'Big Sean'},53,2017-02-03
Bad Boy,{'Landy'},61,2019-10-04
Red Roses (feat. Landon Cube),"{'Lil Skies', 'Landon Cube'}",76,2017-12-12
Not Today (feat. Dappy & Tory Lanez),"{'The Plug', 'Dappy', 'Tory Lanez'}",48,2019-06-27
Du bist anders (feat. Ardian Bujupi),"{'Fard', 'Ardian Bujupi'}",44,2018-08-10
Collé au mic,{'Jul'},50,2019-12-06
CHOCOLATE,{'CHANMINA'},0,2017-11-01
Life Changes,{'Thomas Rhett'},66,2017-09-08
Viva La Vida,{'Coldplay'},80,2008-05-26
Partiu,{'MC Kekel'},51,2016-06-30
ヒーロー,{'FUNKY MONKEY BABYS'},54,2009-11-18
QUE PRETENDES,"{'J Balvin', 'Bad Bunny'}",83,2019-06-28
Carolina,{'Harry Styles'},68,2017-05-12
Mask Off (feat. Kendrick Lamar) - Remix,"{'Future', 'Kendrick Lamar'}",55,2017-06-30
Löwe,{'Kollegah'},0,2018-10-26
Coco Chanel,{'Juju'},55,2019-06-14
Missing My Idols,{'Trippie Redd'},63,2018-08-10
On Hold,{'The xx'},65,2017-01-13
Ausência - Ao Vivo | Acústico,{'Marília Mendonça'},56,2018-04-13
Aitai,{'Miliyah'},31,2004
Wish You Well,"{'Sigala', 'Becky Hill'}",75,2019-05-24
Back To You - From 13 Reasons Why – Season 2 Soundtrack,{'Selena Gomez'},79,2018-05-10
Lick,{'Offset'},66,2019-02-22
Status Que Eu Não Queria - Acústico,{'Zé Neto & Cristiano'},53,2018-03-14
"2 Cups (feat. Popcaan, Fredo & Tory Lanez)","{'Stay Flee Get Lizzy', 'Popcaan', 'Fredo', 'Tory Lanez'}",62,2019-09-25
King,{'SAINT PHNX'},52,2016-11-04
Queen,{'Shawn Mendes'},5,2018-05-25
Stay,{'Post Malone'},79,2018-04-27
WEIHRAUCH,{'METRICKZ'},0,2017-08-25
Science Fiction,{'Arctic Monkeys'},50,2018-05-10
Rich & Sad,{'Post Malone'},75,2018-04-27
Nothing Like You,{'Luke Combs'},76,2019-11-08
ai ai ai,{'Noah'},53,2019-11-13
J'ai passé l'âge,{'Rohff'},35,2018-12-14
Heartline,{'Craig David'},58,2018-01-26
Kriminell,"{'Azet', 'Zuna', 'Noizy'}",50,2018-03-16
Oder nicht,{'Kontra K'},2,2018-05-11
Ride,{'Twenty One Pilots'},82,2015-05-15
Monica Bellucci,{'RIN'},5,2018-01-12
Sickening,"{'Trippie Redd', 'Tory Lanez'}",61,2019-11-22
Particular Taste,{'Shawn Mendes'},4,2018-05-25
Bang Bang,{'YNW Melly'},70,2019-11-22
Trauma,{'Meek Mill'},54,2018-11-30
Mon gamos,{'DTF'},40,2019-10-11
"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","{'Major Lazer', 'Travis Scott', 'Camila Cabello', 'Quavo'}",43,2017-05-31
1ne Million,{'Maxwell'},34,2017-03-24
"Mordida, Beijo e Tapa",{'Naiara Azevedo'},43,2017-03-01
Só Pra Castigar,{'Wesley Safadão'},65,2018-09-12
Intro : Persona,{'BTS'},68,2019-04-12
Flooded,{'Lil Skies'},58,2019-03-01
Tu y yo,"{'Anitta', 'Chris Marshall'}",53,2019-04-05
希望の轍,{'稲村オーケストラ'},50,1990-09-01
"Banger Imperium (feat. Farid Bang, KC Rebell, Jasko, Summer Cem, 18 Karat & Play69) - Bonustrack","{'Majoe', '18 Karat', 'Play69', 'Summer Cem', 'KC Rebell', 'Jasko', 'Farid Bang'}",35,2017-02-10
Monster,"{'Ufo361', 'Kontra K'}",51,2019-08-09
Wo ich her komm,{'Azet'},51,2019-11-06
Writing on the Wall (feat. Post Malone & Cardi B),"{'French Montana', 'Rvssian', 'Post Malone', 'Cardi B'}",71,2019-09-27
Loka,"{'Simone & Simaria', 'Anitta'}",0,2017-11-17
Medellin,"{'Naps', 'Soolking'}",53,2019-06-28
Change,{'ONE OK ROCK'},46,2018-02-16
A Gente Continua - Acústico,{'Zé Neto & Cristiano'},53,2018-03-14
Under the Bridge,{'Red Hot Chili Peppers'},81,1991-09-24
明日以外すべて燃やせ,"{'Tokyo Ska Paradise Orchestra', 'Hiroji Miyamoto'}",29,2018-11-28
Schwarz & Weiss,"{'Ufo361', 'Ezhel'}",53,2019-11-14
Liebe heißt,{'Mert'},50,2017-09-22
Wasted (feat. Lil Uzi Vert),"{'Juice WRLD', 'Lil Uzi Vert'}",2,2018-05-23
Girls Like You (feat. Cardi B),"{'Maroon 5', 'Cardi B'}",79,2018-06-15
Days in The East,{'Drake'},60,2019-08-02
Refrigerator Door,{'Luke Combs'},17,2019-06-07
Something's Gotta Give,{'Camila Cabello'},69,2018-01-12
Too Much Jewelry,{'Migos'},52,2018-01-26
Intro,{'Capital Bra'},39,2017-09-29
As If It's Your Last,{'BLACKPINK'},75,2017-06-22
箒星,{'Mr.Children'},45,2007-03-14
5% TINT,{'Travis Scott'},73,2018-08-03
Oseille,{'Hamza'},45,2019-12-20
Amigo,{'Jul'},50,2017-12-01
Mr. Brightside,{'The Killers'},78,2004-06-15
Bros,{'RIN'},4,2017-05-06
Church,{'Alison Wonderland'},0,2018-02-16
Wait,{'Maroon 5'},7,2017-11-03
Asalto,{'Jul'},57,2018-12-07
Own It (feat. Ed Sheeran & Burna Boy),"{'Stormzy', 'Burna Boy', 'Ed Sheeran'}",42,2019-11-22
Freund/Feind,"{'Savas', 'Sido'}",0,2017-09-29
Du weißt wo ich wohn,"{'Ufo361', 'Haftbefehl'}",41,2017-04-28
Je suis,{'Bigflo & Oli'},1,2016-06-24
Cruise Ship,{'Young Thug'},54,2017-10-20
The Overpass,{'Panic! At The Disco'},62,2018-06-22
Instruction (feat. Demi Lovato & Stefflon Don),"{'Jax Jones', 'Demi Lovato', 'Stefflon Don'}",57,2017-06-16
Y'a pas de stress,{'Jul'},37,2016-12-02
But We Lost It,{'P!nk'},56,2017-10-13
Let Me Down Easy,{'Gang of Youths'},65,2017-08-18
Three Lions,"{'Baddiel, Skinner & Lightning Seeds'}",39,2010-06-04
Stay High 2.0,{'Ufo361'},62,2018-04-13
DKR,{'Booba'},3,2016-09-30
Mama / Baba,{'Moe Phoenix'},2,2018-04-20
what are you so afraid of,{'XXXTENTACION'},68,2018-12-07
Christmas (Baby Please Come Home),{'Mariah Carey'},51,1994-11-01
letter 2 my momma,{'21 Savage'},56,2018-12-21
Toute l'année (feat. Timal),"{'PLK', 'Timal'}",64,2019-09-13
Everyday,"{'Sneazzy', 'S.Pri Noir'}",36,2017-10-06
Club des 27,{'Jok'air'},52,2019-03-29
Shababs botten,{'Pashanim'},72,2019-09-06
CENTER OF UNIVERSE,{'Mr.Children'},39,2000-09-27
Survival of the Fittest,{'Fredo'},38,2019-01-15
Your Time (feat. KAYTRANADA),"{'Nick Murphy', 'KAYTRANADA'}",39,2017-05-09
E.L.E.P.H.A.N.T,{'Booba'},1,2016-07-25
Never Change,{'NAV'},50,2018-05-18
Ponte Perra,{'Pabllo Vittar'},53,2019-10-31
Call Me,"{'NEIKED', 'MIMI'}",1,2017-05-26
Rubbin off the Paint,{'YBN Nahmir'},60,2018-01-26
Johnny Däpp,{'Lorenz Büffel'},14,2016-06-10
Echographie,{'Hornet La Frappe'},34,2018-09-21
Mask Off (feat. Kendrick Lamar) - Remix,"{'Future', 'Kendrick Lamar'}",68,2017-05-23
Warning,{'Hornet La Frappe'},36,2018-09-21
Brotha Man (feat. French Montana),"{'A$AP Rocky', 'French Montana'}",54,2018-05-25
TPB,"{'Dadju', 'Koba LaD'}",28,2019-11-17
126 Cabides,{'Simone & Simaria'},0,2016-08-26
I Wanna Dance with Somebody (Who Loves Me),{'Whitney Houston'},81,1987-06-02
La musique que j'aime,{'Johnny Hallyday'},14,1973-01-01
La Cuenta,{'Naps'},48,2018-03-09
Here Comes The Sun - Remastered 2009,{'The Beatles'},84,1969-09-26
Hochzeitskorso,{'SSIO'},19,2019-12-06
Psycho,{'Red Velvet'},83,2019-12-23
C'est pas grave,"{'Columbine', 'Lujipeka', 'Foda C'}",66,2019-04-19
愛を伝えたいだとか,{'Aimyon'},62,2017-09-12
Eu Era,{'Marcos & Belutti'},56,2017-05-26
Congratulations,"{'Post Malone', 'Quavo'}",84,2016-12-09
Cagoulé,{'Siboy'},47,2018-07-13
Idfc,{'blackbear'},81,2015-02-14
Break My Habits,{'Topic'},47,2017-01-13
AM11:00,{'HY'},42,2014-02-26
Goin Baby,{'DaBaby'},77,2019-03-01
Juste 1 minute,{'Gradur'},39,2019-11-29
RUSH,{'RIRI'},36,2017-06-21
眠り姫,{'SEKAI NO OWARI'},36,2012-07-18
Came Here for Love,"{'Sigala', 'Ella Eyre'}",69,2017-06-09
Oh Holy Night,{'Nina Nesbitt'},25,2018-11-19
If You're Over Me,{'Years & Years'},3,2018-07-06
Sodom und Gomorrha,{'Bushido'},2,2017-06-09
Fightclub (feat. Samra & AK Ausserkontrolle),"{'Capital Bra', 'Samra', 'AK Ausserkontrolle'}",18,2018-11-02
God's Plan,{'Drake'},15,2018-01-20
Royal Rumble,"{'Kalazh44', 'Capital Bra', 'Samra', 'Nimo', 'Luciano'}",64,2019-06-14
CIVIL WAR - Bonus,{'Russ'},53,2019-05-08
クリスマス・イブRap,{'KICK THE CAN CREW'},35,2003-11-19
Bis hier und noch weiter,"{'Adel Tawil', 'KC Rebell', 'Summer Cem'}",48,2017-04-21
Côte Ouest,{'47ter'},65,2019-10-25
Mary Jane,"{'Sami', 'Lil Lano'}",55,2019-04-12
Vamos pra Gaiola,"{'MC Kevin o Chris', 'FP do Trem Bala'}",63,2019-01-11
Vem Me Amar,{'Jonas Esticado'},63,2019-08-23
KKS,{'Kool Savas'},44,2019-02-08
Saturday Nights,{'Khalid'},78,2018-10-18
J'abuse,{'DTF'},32,2017-05-19
Belter,{'Gerry Cinnamon'},69,2017-09-28
Pool,{'SIRUP'},49,2019-05-29
Feds Did a Sweep,{'Future'},11,2017-08-04
Patience,{'Tame Impala'},68,2019-03-22
Amor de Que,{'Pabllo Vittar'},64,2019-12-04
Thought I Knew You (feat. The Weeknd),"{'Nicki Minaj', 'The Weeknd'}",51,2018-08-10
You Don't Know Me,"{'Jax Jones', 'RAYE'}",6,2016-12-09
Todo Mundo Vai Sofrer - Ao Vivo,{'Marília Mendonça'},75,2019-05-17
A chaque jour...,{'Dosseh'},58,2018-07-06
Eyes Closed,{'Halsey'},63,2017-06-02
Lucky Strike,{'Troye Sivan'},3,2018-08-31
20 bouteilles,{'Lacrim'},0,2017-03-31
Notificação Preferida - Ao Vivo,{'Zé Neto & Cristiano'},71,2018-07-13
Not In Love,"{'M.O', 'Kent Jones'}",0,2016-12-09
Small Bump,{'Ed Sheeran'},66,2011-09-09
Jusqu'à minuit (feat. JuL),"{'Ninho', 'Jul'}",60,2019-03-22
So Good,{'Louisa'},51,2016-10-28
Carreira Solo - Ao Vivo,{'Gusttavo Lima'},76,2019-12-05
Détrôné,"{'Rohff', 'Nej'}",32,2017-12-15
079ME,{'B Young'},65,2018-06-21
Perdus,{'Angèle'},59,2019-10-10
Blame It On Me,{'Post Malone'},72,2018-04-27
Arrivant,{'Timal'},55,2018-04-27
Joga O Bum Bum Tam Tam,{'MC Fioti'},0,2017-02-08
ocean eyes,{'Billie Eilish'},86,2017-12-22
EXCITE,{'Daichi Miura'},53,2017-03-22
Bandit,{'Hornet La Frappe'},34,2018-09-21
Antwerpen,{'Ufo361'},44,2018-08-17
Jingle Bell Rock,{'Garou'},0,2014-01-01
Sans vous,{'Marwa Loud'},0,2018-03-09
Every Little Bit Helps,{'Luke Combs'},66,2019-11-08
SAPPY,{'Red Velvet'},49,2019-01-06
Akzeptier'n uns nicht,{'Nimo'},44,2018-05-18
going down!,{'XXXTENTACION'},69,2018-03-16
Just Friends,"{'Hayden James', 'Boy Matthews'}",62,2018-04-27
Childs Play,{'Drake'},66,2016-05-06
O Sol,{'Vitor Kley'},3,2018-10-18
Tell Me You Love Me,{'Demi Lovato'},3,2017-09-29
Me Rehúso,{'Danny Ocean'},11,2016-09-16
FAME,{'Fler'},44,2019-10-24
Friday (feat. DigDat),"{'Kenny Allstar', 'DigDat'}",59,2019-07-04
Somebody Special,{'Nina Nesbitt'},44,2018-01-11
Common Sense,{'J Hus'},52,2017-05-12
Üff Üff,{'Fard'},41,2018-07-27
Intro,{'Roméo Elvis'},47,2019-04-12
Bouff Daddy,{'J Hus'},63,2017-05-12
"Me, Myself & I","{'G-Eazy', 'Bebe Rexha'}",77,2015-12-04
RAINBOW (feat. Yellow Claw),"{'J Soul Brothers III from EXILE TRIBE', 'Yellow Claw'}",2,2018-06-29
What U Sayin' (feat. Smokepurpp),"{'Lil Pump', 'Smokepurpp'}",54,2017-10-06
No Peace,"{'Sam Smith', 'Yebba'}",62,2017-11-03
Beely,{'Jul'},40,2017-06-30
Aura,"{'Ozuna', 'Arthur Hanlon'}",62,2018-08-24
